Position X	Position Y	Position Z
-597.2700	-2058.9189	3766.0281
-591.4230	-2058.8181	3765.9441
-592.2800	-2058.5540	3765.8169
-590.4420	-2058.5420	3765.8979
-601.4990	-2077.7561	3766.1699
-595.2660	-2075.8689	3766.1270
-593.8600	-2075.7930	3766.0710
-602.6880	-2074.9390	3766.0730
-595.7450	-2074.5471	3766.3049
-600.9990	-2074.3779	3766.3401
-597.7680	-2073.8779	3766.2070
-598.4980	-2072.8301	3766.1499
-594.7500	-2072.3621	3766.3020
-603.0110	-2072.0410	3766.2019
-594.5400	-2072.0229	3766.2419
-590.5350	-2071.7000	3766.0920
-590.7820	-2071.1890	3766.3201
-604.2360	-2070.4109	3766.2571
-593.3170	-2069.9431	3766.1470
-592.8810	-2068.8350	3766.1270
-591.8340	-2068.8730	3766.2500
-606.0690	-2068.7319	3766.2119
-595.7180	-2068.3059	3766.3250
-591.4180	-2068.0559	3766.1421
-608.2680	-2067.8630	3766.1160
-590.7390	-2067.7661	3766.1040
-594.0360	-2067.6411	3766.1790
-600.5650	-2067.4399	3766.2109
-596.5180	-2067.3999	3766.1069
-600.5950	-2066.4961	3766.2930
-590.2830	-2066.3979	3766.2520
-592.9570	-2065.6311	3766.2649
-595.9570	-2065.5149	3766.2900
-591.6890	-2065.5120	3766.1489
-597.5270	-2065.0930	3766.2070
-590.0340	-2064.4390	3766.3501
-592.0200	-2064.1460	3766.2529
-591.1620	-2064.1111	3766.0891
-606.2910	-2063.3660	3766.1399
-595.4990	-2063.0691	3766.1831
-605.7630	-2062.9641	3766.1060
-611.6720	-2061.4890	3766.2681
-599.0980	-2061.2900	3766.2009
-598.0220	-2061.0049	3766.1060
-595.7600	-2060.8491	3766.2119
-593.2580	-2060.1431	3766.3501
-589.7230	-2060.0920	3766.1770
-606.5400	-2059.8540	3766.0991
-592.0990	-2059.7251	3766.2690
-589.6750	-2059.2090	3766.1221
-593.4710	-2058.8970	3766.2920
-597.3000	-2073.4670	3766.5620
-603.9370	-2072.1931	3766.4580
-599.1640	-2071.9600	3766.4780
-600.2010	-2071.3799	3766.5681
-595.8840	-2070.9160	3766.5581
-592.5760	-2070.4419	3766.5229
-595.2500	-2070.0471	3766.5449
-608.5340	-2067.3191	3766.4250
-594.9180	-2066.8889	3766.6140
-592.9120	-2066.2290	3766.4031
-594.5230	-2066.0320	3766.5039
-589.7610	-2065.7229	3766.3999
-590.0640	-2065.1230	3766.4189
-599.6050	-2064.8330	3766.3770
-603.3970	-2064.2549	3766.3701
-592.9760	-2063.6650	3766.6060
-591.5820	-2063.6890	3766.6411
-593.7930	-2062.2910	3766.6421
-605.2150	-2061.8550	3766.5950
-604.6760	-2058.7539	3766.4360
-599.3180	-2058.2319	3766.5271
-594.2690	-2067.0610	3766.8379
-592.6830	-2064.9490	3766.7871
-592.9710	-2064.2029	3766.9041
-593.1670	-2059.5669	3766.8301
-593.9100	-2058.1660	3766.8711
-586.7370	-2079.2949	3765.8330
-585.6940	-2078.2820	3765.8430
-588.2570	-2069.8279	3765.8711
-587.5700	-2063.0969	3765.9470
-598.3270	-2057.6560	3765.8420
-595.6340	-2057.6101	3766.0120
-591.3040	-2057.1721	3765.9551
-590.9200	-2057.1990	3765.7830
-608.0890	-2056.3770	3765.9131
-599.4570	-2056.2661	3765.9919
-593.3000	-2056.0420	3765.8401
-592.1200	-2055.8750	3766.0000
-607.7850	-2055.7510	3765.9231
-609.4450	-2055.6951	3765.8601
-611.1270	-2055.4509	3765.9729
-596.4410	-2054.7390	3765.9951
-605.0290	-2054.2300	3766.0171
-593.9370	-2054.0859	3765.8040
-591.0760	-2053.9609	3765.9131
-593.3910	-2053.8469	3766.0649
-595.6740	-2053.5510	3766.0300
-608.8810	-2053.3630	3766.0491
-598.8880	-2053.4451	3765.9990
-606.3880	-2053.3230	3765.8640
-591.9450	-2053.0129	3765.9241
-609.0690	-2052.7810	3765.9070
-592.8040	-2052.7891	3765.8379
-596.1380	-2052.6819	3766.0071
